game_id	date	home_team	away_team	home_dc_attack	home_dc_defense	away_dc_attack	away_dc_defense	dc_lambda_home	dc_lambda_away	dc_expected_total	dc_home_edge	dc_fit_n_games	dc_halflife	dc_window_days	dc_min_games	dc_l2_penalty
634586	2021-04-06	Los Angeles Angels	Houston Astros									0	60.0	365	100	0.05
634590	2021-04-06	Boston Red Sox	Tampa Bay Rays									0	60.0	365	100	0.05
634594	2021-04-06	Miami Marlins	St. Louis Cardinals									0	60.0	365	100	0.05
634599	2021-04-06	New York Yankees	Baltimore Orioles									0	60.0	365	100	0.05
634603	2021-04-06	Detroit Tigers	Minnesota Twins									0	60.0	365	100	0.05
634608	2021-04-06	Philadelphia Phillies	New York Mets									0	60.0	365	100	0.05
634609	2021-04-06	Seattle Mariners	Chicago White Sox									0	60.0	365	100	0.05
634619	2021-04-06	Colorado Rockies	Arizona Diamondbacks									0	60.0	365	100	0.05
634624	2021-04-06	Washington Nationals	Atlanta Braves									0	60.0	365	100	0.05
634628	2021-04-06	Oakland Athletics	Los Angeles Dodgers									0	60.0	365	100	0.05
634635	2021-04-06	Texas Rangers	Toronto Blue Jays									0	60.0	365	100	0.05
634527	2021-04-07	Washington Nationals	Atlanta Braves									0	60.0	365	100	0.05
634539	2021-04-07	New York Yankees	Baltimore Orioles									0	60.0	365	100	0.05
634542	2021-04-07	Colorado Rockies	Arizona Diamondbacks									0	60.0	365	100	0.05
634549	2021-04-07	Chicago Cubs	Milwaukee Brewers									0	60.0	365	100	0.05
634563	2021-04-07	San Diego Padres	San Francisco Giants									0	60.0	365	100	0.05
634567	2021-04-07	Oakland Athletics	Los Angeles Dodgers									0	60.0	365	100	0.05
634570	2021-04-07	Cincinnati Reds	Pittsburgh Pirates									0	60.0	365	100	0.05
634583	2021-04-07	Texas Rangers	Toronto Blue Jays									0	60.0	365	100	0.05
634585	2021-04-07	Miami Marlins	St. Louis Cardinals									0	60.0	365	100	0.05
634589	2021-04-07	Cleveland Indians	Kansas City Royals									0	60.0	365	100	0.05
634592	2021-04-07	Seattle Mariners	Chicago White Sox									0	60.0	365	100	0.05
634595	2021-04-07	Washington Nationals	Atlanta Braves									0	60.0	365	100	0.05
634598	2021-04-07	Detroit Tigers	Minnesota Twins									0	60.0	365	100	0.05
634626	2021-04-07	Philadelphia Phillies	New York Mets									0	60.0	365	100	0.05
634641	2021-04-07	Boston Red Sox	Tampa Bay Rays									0	60.0	365	100	0.05
634544	2021-04-08	Baltimore Orioles	Boston Red Sox									0	60.0	365	100	0.05
634545	2021-04-08	Toronto Blue Jays	Los Angeles Angels									0	60.0	365	100	0.05
634546	2021-04-08	Houston Astros	Oakland Athletics									0	60.0	365	100	0.05
634550	2021-04-08	Minnesota Twins	Seattle Mariners									0	60.0	365	100	0.05
634555	2021-04-08	Pittsburgh Pirates	Chicago Cubs									0	60.0	365	100	0.05
634564	2021-04-08	Colorado Rockies	Arizona Diamondbacks									0	60.0	365	100	0.05
634565	2021-04-08	Chicago White Sox	Kansas City Royals									0	60.0	365	100	0.05
634568	2021-04-08	St. Louis Cardinals	Milwaukee Brewers									0	60.0	365	100	0.05
634584	2021-04-08	New York Mets	Miami Marlins									0	60.0	365	100	0.05
634478	2021-04-09	Texas Rangers	San Diego Padres									0	60.0	365	100	0.05
634494	2021-04-09	San Francisco Giants	Colorado Rockies									0	60.0	365	100	0.05
634499	2021-04-09	Tampa Bay Rays	New York Yankees									0	60.0	365	100	0.05
634505	2021-04-09	Cleveland Indians	Detroit Tigers									0	60.0	365	100	0.05
634512	2021-04-09	Toronto Blue Jays	Los Angeles Angels									0	60.0	365	100	0.05
634533	2021-04-09	Los Angeles Dodgers	Washington Nationals									0	60.0	365	100	0.05
634534	2021-04-09	Atlanta Braves	Philadelphia Phillies									0	60.0	365	100	0.05
634537	2021-04-09	Houston Astros	Oakland Athletics									0	60.0	365	100	0.05
634540	2021-04-09	Arizona Diamondbacks	Cincinnati Reds									0	60.0	365	100	0.05
632169	2021-04-10	San Francisco Giants	Colorado Rockies	-0.2752405674836332	0.65710783284274	0.5668025309226422	-0.26132392700897944	4.249	3.473	7.722	0.776	106	60.0	365	100	0.05
632191	2021-04-10	Los Angeles Dodgers	Washington Nationals	0.1345161941172325	0.5290908933380115	-0.5370626281986464	0.32651359336973074	3.556	1.309	4.865	2.247	106	60.0	365	100	0.05
632193	2021-04-10	Texas Rangers	San Diego Padres	0.12220199862703174	-0.3311249621779563	0.005123555097523573	0.4254137668801896	3.182	5.321	8.502	-2.139	106	60.0	365	100	0.05
632195	2021-04-10	Pittsburgh Pirates	Chicago Cubs	-0.5115949061152983	-0.16681696249876957	-0.2569330617048738	-0.15433521738352277	3.014	3.474	6.488	-0.459	106	60.0	365	100	0.05
632201	2021-04-10	New York Mets	Miami Marlins	0.3564555789740752	-0.9543472723173461	-1.1744774868293355	0.1236342608747502	5.438	3.05	8.488	2.388	106	60.0	365	100	0.05
632202	2021-04-10	Houston Astros	Oakland Athletics	0.21425956529635432	0.6960482266899287	0.23013949278750664	-0.3491161826388682	7.569	2.386	9.954	5.183	106	60.0	365	100	0.05
632205	2021-04-10	Minnesota Twins	Seattle Mariners	0.3652360998984604	0.5608579975509576	0.6329732899651314	-0.40662165997618976	9.323	4.085	13.409	5.238	106	60.0	365	100	0.05
632217	2021-04-10	Tampa Bay Rays	New York Yankees	0.25971663396307587	-1.2801318116643847	-0.44161556953354075	-0.007755181318991888	5.63	8.792	14.422	-3.162	106	60.0	365	100	0.05
632218	2021-04-10	Cleveland Indians	Detroit Tigers	-0.4787864079787437	0.78304954021806	0.4597462665485081	-0.368729994993578	3.86	2.751	6.611	1.109	106	60.0	365	100	0.05
632222	2021-04-10	St. Louis Cardinals	Milwaukee Brewers	0.2929513588958178	0.06923681472015356	-0.20001982560551662	0.2568903200727714	4.467	2.904	7.371	1.563	106	60.0	365	100	0.05
