date	away_team	home_team	total_runs	predicted_total	prediction_std	high_tail_prob_9p5	low_tail_prob_7p5	date_str	close_total_line	num_books	line_source	snapshot_ts	requested_snapshot_ts	commence_time	pinnacle_line	draftkings_line	fanduel_line	betmgm_line	actual_total	entry_total_line	hours_to_first_pitch	market_adjusted_total	market_adjustment_method	market_shrink_fraction	p_over	p_under	edge	abs_edge	confidence	bet	actual_over_entry	bet_won_entry	closing_total_line	open_total_line	closing_line_source	closing_num_books	closing_snapshot_ts	closing_commence_time	selection_reason	close_move	clv_runs	beat_close	matched_closing_line	actual_over_close	evaluation_month
2024-04-06	Chicago White Sox	Kansas City Royals	3	7.460621850767955	4.098304	0.24550105883859472	0.3949633270734557	2024-04-06	9.0	4	oddsapi_snapshot	2024-04-06 21:55:38+00:00	2024-04-06 22:00:00+00:00	2024-04-06 23:10:00+00:00	9.0	9.0	9.0	9.0	3	9.0	1.2394444444444443	7.327494791636808	edge_model	0.0	0.34160125588697016	0.6583987441130299	-1.6725052083631917	1.6725052083631917	0.6583987441130299	UNDER	False	True	9.0		oddsapi	4.0	2024-04-06 21:55:38+00:00	2024-04-06 23:10:00+00:00	closest_before_60m_conf_0.53_edge_0.50	0.0	0.0	False	True	0.0	2024-04
2024-04-07	Chicago White Sox	Kansas City Royals	8	7.793287799534209	4.098304	0.306956637195576	0.39841318430841055	2024-04-07	9.0	4	oddsapi_snapshot	2024-04-07 15:55:38+00:00	2024-04-07 16:00:00+00:00	2024-04-07 18:10:00+00:00	9.0	9.0	9.0	9.0	8	9.0	2.2394444444444446	7.327494791636808	edge_model	0.0	0.34160125588697016	0.6583987441130299	-1.6725052083631917	1.6725052083631917	0.6583987441130299	UNDER	False	True	9.0		oddsapi	4.0	2024-04-07 15:55:38+00:00	2024-04-07 18:10:00+00:00	closest_before_60m_conf_0.53_edge_0.50	0.0	0.0	False	True	0.0	2024-04
2024-04-11	Oakland Athletics	Texas Rangers	1	9.177850744019803	4.1898217	0.39238582729481536	0.3919900834792861	2024-04-11	9.5	4	oddsapi_snapshot	2024-04-11 15:55:39+00:00	2024-04-11 16:00:00+00:00	2024-04-11 18:35:00+00:00	9.5	9.5	9.5	9.5	1	9.5	2.6558333333333333	7.79014660704103	edge_model	0.0	0.34160125588697016	0.6583987441130299	-1.70985339295897	1.70985339295897	0.6583987441130299	UNDER	False	True	9.0		oddsapi	4.0	2024-04-10 21:55:39+00:00	2024-04-11 00:05:00+00:00	closest_before_60m_conf_0.53_edge_0.50	-0.5	0.5	True	True	0.0	2024-04
2024-04-11	Pittsburgh Pirates	Philadelphia Phillies	6	8.340959348718153	4.1666865	0.3010591703572162	0.39508360924661245	2024-04-11	9.0	4	oddsapi_snapshot	2024-04-11 18:55:39+00:00	2024-04-11 19:00:00+00:00	2024-04-11 22:40:00+00:00	9.5	9.0	9.0	9.0	6	9.0	3.7391666666666667	7.299588005177915	edge_model	0.0	0.34160125588697016	0.6583987441130299	-1.700411994822085	1.700411994822085	0.6583987441130299	UNDER	False	True	9.0		oddsapi	4.0	2024-04-11 21:55:39+00:00	2024-04-11 22:40:00+00:00	closest_before_60m_conf_0.53_edge_0.50	0.0	0.0	False	True	0.0	2024-04
2024-04-13	Washington Nationals	Oakland Athletics	4	7.500664533766467	4.187169	0.24018376126073676	0.40148894789159384	2024-04-13	7.75	4	oddsapi_snapshot	2024-04-13 18:55:39+00:00	2024-04-13 19:00:00+00:00	2024-04-13 20:07:00+00:00	8.0	8.0	7.5	7.5	4	7.75	1.1891666666666667	6.944542281614236	edge_model	0.0	0.423728813559322	0.576271186440678	-0.8054577183857639	0.8054577183857639	0.576271186440678	UNDER	False	True	8.0		oddsapi	4.0	2024-04-13 00:55:39+00:00	2024-04-13 01:40:00+00:00	closest_before_60m_conf_0.53_edge_0.50	0.25	-0.25	False	True	0.0	2024-04
2024-04-17	Atlanta Braves	Houston Astros	9	9.25091028712847	4.43183	0.33445272623680905	0.3919900834792861	2024-04-17	9.0	4	oddsapi_snapshot	2024-04-17 15:55:39+00:00	2024-04-17 16:00:00+00:00	2024-04-17 18:10:00+00:00	9.5	9.0	9.0	9.0	9	9.0	2.2391666666666667	7.191383799142577	edge_model	0.0	0.34160125588697016	0.6583987441130299	-1.808616200857423	1.808616200857423	0.6583987441130299	UNDER	False	True	9.5		oddsapi	4.0	2024-04-16 21:55:39+00:00	2024-04-17 00:10:00+00:00	closest_before_60m_conf_0.53_edge_0.50	0.5	-0.5	False	True	0.0	2024-04
2024-04-17	Chicago Cubs	Arizona Diamondbacks	8	9.929977875026907	4.277242	0.3477369221963771	0.3874746442073592	2024-04-17	9.0	4	oddsapi_snapshot	2024-04-17 15:55:39+00:00	2024-04-17 16:00:00+00:00	2024-04-17 19:40:00+00:00	9.0	9.0	9.0	9.0	8	9.0	3.7391666666666667	7.254470583997463	edge_model	0.0	0.34160125588697016	0.6583987441130299	-1.7455294160025367	1.7455294160025367	0.6583987441130299	UNDER	False	True	10.0		oddsapi	4.0	2024-04-17 00:55:39+00:00	2024-04-17 01:40:00+00:00	closest_before_60m_conf_0.53_edge_0.50	1.0	-1.0	False	True	0.0	2024-04
2024-04-17	St. Louis Cardinals	Oakland Athletics	9	6.8314310080443965	4.117249	0.2193480505713113	0.4018197089666137	2024-04-17	8.0	4	oddsapi_snapshot	2024-04-17 15:55:39+00:00	2024-04-17 16:00:00+00:00	2024-04-17 19:37:00+00:00	8.0	8.0	8.0	8.0	9	8.0	3.6891666666666665	7.207992336632219	edge_model	0.0	0.423728813559322	0.576271186440678	-0.7920076633677811	0.7920076633677811	0.576271186440678	UNDER	True	False	8.0		oddsapi	4.0	2024-04-17 18:55:39+00:00	2024-04-17 19:37:00+00:00	closest_before_60m_conf_0.53_edge_0.50	0.0	0.0	False	True	1.0	2024-04
2024-04-19	Baltimore Orioles	Kansas City Royals	13	8.897164180444436	4.1985545	0.3746575626649745	0.3953491777414092	2024-04-19	9.0	4	oddsapi_snapshot	2024-04-19 21:55:39+00:00	2024-04-19 22:00:00+00:00	2024-04-19 23:40:00+00:00	9.0	9.0	9.0	9.0	13	9.0	1.7391666666666667	7.286582779894838	edge_model	0.0	0.34160125588697016	0.6583987441130299	-1.7134172201051623	1.7134172201051623	0.6583987441130299	UNDER	True	False	9.0		oddsapi	4.0	2024-04-19 21:55:39+00:00	2024-04-19 23:40:00+00:00	closest_before_60m_conf_0.53_edge_0.50	0.0	0.0	False	True	1.0	2024-04
2024-04-19	Chicago White Sox	Philadelphia Phillies	7	6.632430578359462	4.0665174	0.20949345073782283	0.40742653908670035	2024-04-19	7.5	4	oddsapi_snapshot	2024-04-19 18:55:39+00:00	2024-04-19 19:00:00+00:00	2024-04-19 22:40:00+00:00	7.5	7.5	7.5	7.5	7	7.5	3.7391666666666667	6.717751246655701	edge_model	0.0	0.423728813559322	0.576271186440678	-0.782248753344299	0.782248753344299	0.576271186440678	UNDER	False	True	7.5		oddsapi	4.0	2024-04-19 21:55:39+00:00	2024-04-19 22:40:00+00:00	closest_before_60m_conf_0.53_edge_0.50	0.0	0.0	False	True	0.0	2024-04
