min_kalshi_edge_pct	min_kalshi_confidence_pct	kelly_fraction	max_bet_pct	bets_placed	wins	losses	win_rate_pct	roi_pct	total_pnl	avg_edge_pct	avg_bet_amount	final_bankroll	bankroll_return_pct	max_drawdown_pct
6.0	55.0	0.25	0.0	93	56	37	60.2	26.01	17519.78	11.25	724.3	27519.79	175.2	-20.74
6.0	55.0	0.15	0.0	93	56	37	60.2	26.01	10513.49	11.25	434.61	20513.48	105.13	-14.15
6.0	55.0	0.05	5.0	93	56	37	60.2	25.98	3500.67	11.25	144.88	13500.65	35.01	-6.6
6.0	55.0	0.05	0.0	93	56	37	60.2	25.98	3500.67	11.25	144.88	13500.65	35.01	-6.6
0.0	52.0	0.25	2.0	129	80	49	62.0	25.96	6332.67	8.48	189.09	16332.61	63.33	-9.88
4.0	55.0	0.1	0.0	101	61	40	60.4	25.87	7188.43	10.27	275.08	17188.46	71.88	-11.1
4.0	55.0	0.25	0.0	101	61	40	60.4	25.86	17960.44	10.27	687.65	27960.45	179.6	-20.74
4.0	55.0	0.15	0.0	101	61	40	60.4	25.86	10777.39	10.27	412.6	20777.38	107.77	-14.31
4.0	55.0	0.05	5.0	101	61	40	60.4	25.83	3588.69	10.27	137.54	13588.68	35.89	-6.64
4.0	55.0	0.05	0.0	101	61	40	60.4	25.83	3588.69	10.27	137.54	13588.68	35.89	-6.64
6.0	57.5	0.25	3.0	82	50	32	61.0	25.69	6320.38	12.19	300.0	16320.35	63.2	-10.74
6.0	57.5	0.15	2.0	82	50	32	61.0	25.69	4213.61	12.19	200.0	14213.56	42.14	-7.91
6.0	57.5	0.25	2.0	82	50	32	61.0	25.69	4213.61	12.19	200.0	14213.56	42.14	-7.91
6.0	57.5	0.05	3.0	82	50	32	61.0	25.65	3194.44	12.19	151.87	13194.43	31.94	-5.6
0.0	52.0	0.15	2.0	129	80	49	62.0	25.59	5832.92	8.48	176.72	15832.87	58.33	-10.1
4.0	52.0	0.05	3.0	113	70	43	61.9	25.59	3687.32	9.53	127.51	13687.3	36.87	-6.61
0.0	52.0	0.25	3.0	129	80	49	62.0	25.55	8907.56	8.48	270.29	18907.54	89.08	-13.32
6.0	0.0	0.1	0.0	98	58	40	59.2	25.53	7049.79	11.05	281.81	17049.81	70.5	-10.94
6.0	52.0	0.1	0.0	98	58	40	59.2	25.53	7049.79	11.05	281.81	17049.81	70.5	-10.94
6.0	0.0	0.15	0.0	98	58	40	59.2	25.52	10571.38	11.05	422.76	20571.36	105.71	-14.04
6.0	52.0	0.15	0.0	98	58	40	59.2	25.52	10571.38	11.05	422.76	20571.36	105.71	-14.04
6.0	0.0	0.25	0.0	98	58	40	59.2	25.51	17614.78	11.05	704.54	27614.79	176.15	-20.74
6.0	52.0	0.25	0.0	98	58	40	59.2	25.51	17614.78	11.05	704.54	27614.79	176.15	-20.74
6.0	0.0	0.05	5.0	98	58	40	59.2	25.48	3519.23	11.05	140.93	13519.21	35.19	-6.58
6.0	0.0	0.05	0.0	98	58	40	59.2	25.48	3519.23	11.05	140.93	13519.21	35.19	-6.58
6.0	52.0	0.05	5.0	98	58	40	59.2	25.48	3519.23	11.05	140.93	13519.21	35.19	-6.58
6.0	52.0	0.05	0.0	98	58	40	59.2	25.48	3519.23	11.05	140.93	13519.21	35.19	-6.58
0.0	57.5	0.05	3.0	87	53	34	60.9	25.46	3242.61	11.43	146.39	13242.6	32.43	-5.63
2.0	57.5	0.05	3.0	87	53	34	60.9	25.46	3242.61	11.43	146.39	13242.6	32.43	-5.63
4.0	57.5	0.05	3.0	87	53	34	60.9	25.46	3242.61	11.43	146.39	13242.6	32.43	-5.63
2.0	52.0	0.25	2.0	123	75	48	61.0	25.33	6114.27	8.88	196.26	16114.21	61.14	-9.97
0.0	57.5	0.15	2.0	87	53	34	60.9	25.27	4358.85	11.43	198.3	14358.8	43.59	-8.02
2.0	57.5	0.15	2.0	87	53	34	60.9	25.27	4358.85	11.43	198.3	14358.8	43.59	-8.02
4.0	57.5	0.15	2.0	87	53	34	60.9	25.27	4358.85	11.43	198.3	14358.8	43.59	-8.02
0.0	52.0	0.05	3.0	129	80	49	62.0	25.25	3730.24	8.48	114.51	13730.24	37.3	-6.59
2.0	52.0	0.15	2.0	123	75	48	61.0	25.18	5701.68	8.88	184.11	15701.61	57.02	-10.16
4.0	52.0	0.05	2.0	113	70	43	61.9	25.18	3493.53	9.53	122.78	13493.52	34.94	-6.7
6.0	57.5	0.05	2.0	82	50	32	61.0	25.18	3000.65	12.19	145.34	13000.64	30.01	-5.67
0.0	57.5	0.25	3.0	87	53	34	60.9	25.15	6536.09	11.43	298.72	16536.06	65.36	-10.97
2.0	57.5	0.25	3.0	87	53	34	60.9	25.15	6536.09	11.43	298.72	16536.06	65.36	-10.97
4.0	57.5	0.25	3.0	87	53	34	60.9	25.15	6536.09	11.43	298.72	16536.06	65.36	-10.97
4.0	52.0	0.1	5.0	113	70	43	61.9	25.11	7181.43	9.53	253.11	17181.45	71.81	-11.27
2.0	52.0	0.25	3.0	123	75	48	61.0	25.1	8689.16	8.88	281.42	18689.14	86.89	-13.43
4.0	52.0	0.25	5.0	113	70	43	61.9	25.09	12485.25	9.53	440.43	22485.22	124.85	-17.85
4.0	52.0	0.15	3.0	113	70	43	61.9	25.09	7492.0	9.53	264.26	17491.97	74.92	-13.03
4.0	52.0	0.1	2.0	113	70	43	61.9	25.09	4995.12	9.53	176.19	14995.09	49.95	-9.74
6.0	57.5	0.1	5.0	82	50	32	61.0	25.09	6193.98	12.19	301.06	16193.99	61.94	-9.72
2.0	52.0	0.05	3.0	123	75	48	61.0	25.04	3686.25	8.88	119.68	13686.24	36.86	-6.61
4.0	52.0	0.15	5.0	113	70	43	61.9	25.04	9944.35	9.53	351.49	19944.31	99.44	-14.51
6.0	57.5	0.15	5.0	82	50	32	61.0	25.01	8464.85	12.19	412.82	18464.81	84.65	-12.59
0.0	57.5	0.05	2.0	87	53	34	60.9	24.99	3048.82	11.43	140.24	13048.82	30.49	-5.7
2.0	57.5	0.05	2.0	87	53	34	60.9	24.99	3048.82	11.43	140.24	13048.82	30.49	-5.7
4.0	57.5	0.05	2.0	87	53	34	60.9	24.99	3048.82	11.43	140.24	13048.82	30.49	-5.7
4.0	0.0	0.25	2.0	115	70	45	60.9	24.91	5723.87	9.38	199.84	15723.82	57.24	-10.17
0.0	57.5	0.1	5.0	87	53	34	60.9	24.91	6291.04	11.43	290.3	16291.05	62.91	-9.8
2.0	57.5	0.1	5.0	87	53	34	60.9	24.91	6291.04	11.43	290.3	16291.05	62.91	-9.8
4.0	57.5	0.1	5.0	87	53	34	60.9	24.91	6291.04	11.43	290.3	16291.05	62.91	-9.8
6.0	57.5	0.15	3.0	82	50	32	61.0	24.86	5973.5	12.19	293.09	15973.47	59.73	-10.83
6.0	57.5	0.25	5.0	82	50	32	61.0	24.85	9953.3	12.19	488.45	19953.26	99.53	-15.25
6.0	57.5	0.1	2.0	82	50	32	61.0	24.85	3981.67	12.19	195.39	13981.63	39.82	-7.95
0.0	52.0	0.05	2.0	129	80	49	62.0	24.84	3536.45	8.48	110.36	13536.45	35.36	-6.68
4.0	0.0	0.05	3.0	115	70	45	60.9	24.84	3600.32	9.38	126.05	13600.3	36.0	-6.64
0.0	57.5	0.25	2.0	87	53	34	60.9	24.82	4317.99	11.43	200.0	14317.94	43.18	-8.03
2.0	57.5	0.25	2.0	87	53	34	60.9	24.82	4317.99	11.43	200.0	14317.94	43.18	-8.03
4.0	57.5	0.25	2.0	87	53	34	60.9	24.82	4317.99	11.43	200.0	14317.94	43.18	-8.03
0.0	57.5	0.15	5.0	87	53	34	60.9	24.81	8610.09	11.43	398.89	18610.05	86.1	-12.74
2.0	57.5	0.15	5.0	87	53	34	60.9	24.81	8610.09	11.43	398.89	18610.05	86.1	-12.74
4.0	57.5	0.15	5.0	87	53	34	60.9	24.81	8610.09	11.43	398.89	18610.05	86.1	-12.74
0.0	52.0	0.1	5.0	129	80	49	62.0	24.79	7269.15	8.48	227.33	17269.17	72.69	-11.21
4.0	0.0	0.15	2.0	115	70	45	60.9	24.77	5442.12	9.38	191.06	15442.07	54.42	-10.29
0.0	52.0	0.15	5.0	129	80	49	62.0	24.69	10073.15	8.48	316.32	20073.11	100.73	-14.4
4.0	0.0	0.25	3.0	115	70	45	60.9	24.65	8256.0	9.38	291.25	18255.98	82.56	-13.68
0.0	52.0	0.1	2.0	129	80	49	62.0	24.63	5082.84	8.48	159.95	15082.81	50.83	-9.68
4.0	52.0	0.1	3.0	113	70	43	61.9	24.63	6295.29	9.53	226.19	16295.3	62.95	-11.07
0.0	55.0	0.25	2.0	108	66	42	61.1	24.63	5156.2	9.72	193.87	15156.13	51.56	-10.76
0.0	52.0	0.25	5.0	129	80	49	62.0	24.62	12700.81	8.48	399.84	22700.78	127.01	-17.64
0.0	52.0	0.15	3.0	129	80	49	62.0	24.62	7620.8	8.48	239.91	17620.77	76.21	-12.92
2.0	52.0	0.05	2.0	123	75	48	61.0	24.62	3492.46	8.88	115.33	13492.45	34.92	-6.69
0.0	57.5	0.15	3.0	87	53	34	60.9	24.59	6118.74	11.43	286.03	16118.71	61.19	-10.97
2.0	57.5	0.15	3.0	87	53	34	60.9	24.59	6118.74	11.43	286.03	16118.71	61.19	-10.97
4.0	57.5	0.15	3.0	87	53	34	60.9	24.59	6118.74	11.43	286.03	16118.71	61.19	-10.97
0.0	57.5	0.25	5.0	87	53	34	60.9	24.58	10195.6	11.43	476.71	20195.56	101.96	-15.54
2.0	57.5	0.25	5.0	87	53	34	60.9	24.58	10195.6	11.43	476.71	20195.56	101.96	-15.54
4.0	57.5	0.25	5.0	87	53	34	60.9	24.58	10195.6	11.43	476.71	20195.56	101.96	-15.54
0.0	57.5	0.1	2.0	87	53	34	60.9	24.58	4078.73	11.43	190.7	14078.7	40.79	-8.03
2.0	57.5	0.1	2.0	87	53	34	60.9	24.58	4078.73	11.43	190.7	14078.7	40.79	-8.03
4.0	57.5	0.1	2.0	87	53	34	60.9	24.58	4078.73	11.43	190.7	14078.7	40.79	-8.03
2.0	52.0	0.1	5.0	123	75	48	61.0	24.57	7181.04	8.88	237.59	17181.07	71.81	-11.24
6.0	57.5	0.1	3.0	82	50	32	61.0	24.52	5307.84	12.19	263.96	15307.84	53.08	-9.42
0.0	55.0	0.25	3.0	108	66	42	61.1	24.51	7523.79	9.72	284.28	17523.77	75.24	-14.65
0.0	55.0	0.05	3.0	108	66	42	61.1	24.5	3404.05	9.72	128.67	13404.05	34.04	-6.76
2.0	52.0	0.15	5.0	123	75	48	61.0	24.46	9941.91	8.88	330.51	19941.86	99.42	-14.46
0.0	55.0	0.15	2.0	108	66	42	61.1	24.46	4954.66	9.72	187.56	14954.59	49.55	-10.8
2.0	55.0	0.05	3.0	105	64	41	61.0	24.41	3386.62	9.99	132.12	13386.62	33.87	-6.77
4.0	0.0	0.05	2.0	115	70	45	60.9	24.4	3406.53	9.38	121.4	13406.52	34.07	-6.72
4.0	0.0	0.1	5.0	115	70	45	60.9	24.35	7007.43	9.38	250.22	17007.45	70.07	-11.33
2.0	55.0	0.25	2.0	105	64	41	61.0	24.35	5071.5	9.99	198.34	15071.43	50.71	-10.79
2.0	52.0	0.1	2.0	123	75	48	61.0	24.33	4994.73	8.88	166.93	14994.71	49.95	-9.72
0.0	57.5	0.1	3.0	87	53	34	60.9	24.33	5404.9	11.43	255.33	15404.9	54.05	-9.51
2.0	57.5	0.1	3.0	87	53	34	60.9	24.33	5404.9	11.43	255.33	15404.9	54.05	-9.51
4.0	57.5	0.1	3.0	87	53	34	60.9	24.33	5404.9	11.43	255.33	15404.9	54.05	-9.51
2.0	52.0	0.25	5.0	123	75	48	61.0	24.32	12482.41	8.88	417.28	22482.38	124.82	-17.77
2.0	52.0	0.15	3.0	123	75	48	61.0	24.32	7489.56	8.88	250.37	17489.52	74.9	-12.98
2.0	55.0	0.25	3.0	105	64	41	61.0	24.32	7439.09	9.99	291.33	17439.06	74.39	-14.69
0.0	52.0	0.1	3.0	129	80	49	62.0	24.29	6383.01	8.48	203.74	16383.02	63.83	-11.0
2.0	55.0	0.15	2.0	105	64	41	61.0	24.29	4904.02	9.99	192.29	14903.95	49.04	-10.81
6.0	55.0	0.05	3.0	93	56	37	60.2	24.25	3232.67	11.25	143.33	13232.65	32.33	-6.77
4.0	0.0	0.15	5.0	115	70	45	60.9	24.22	9682.35	9.38	347.65	19682.31	96.82	-14.62
4.0	55.0	0.05	3.0	101	61	40	60.4	24.15	3320.69	10.27	136.12	13320.68	33.21	-6.81
2.0	52.0	0.1	3.0	123	75	48	61.0	24.04	6294.9	8.88	212.85	16294.91	62.95	-11.04
0.0	55.0	0.05	2.0	108	66	42	61.1	24.03	3210.26	9.72	123.71	13210.27	32.1	-6.86
4.0	0.0	0.25	5.0	115	70	45	60.9	24.0	12049.25	9.38	436.57	22049.22	120.49	-18.05
4.0	0.0	0.15	3.0	115	70	45	60.9	24.0	7230.0	9.38	261.94	17229.97	72.3	-13.14
4.0	0.0	0.1	2.0	115	70	45	60.9	24.0	4821.12	9.38	174.64	14821.09	48.21	-9.8
6.0	55.0	0.25	3.0	93	56	37	60.2	24.0	6695.86	11.25	300.0	16695.83	66.96	-14.7
6.0	55.0	0.25	2.0	93	56	37	60.2	24.0	4463.94	11.25	200.0	14463.88	44.64	-10.89
0.0	55.0	0.1	5.0	108	66	42	61.1	23.99	6616.02	9.72	255.37	16616.05	66.16	-11.71
