month	games	mae	rmse	r2	bias	mean_predicted	mean_actual	mean_sigma	within_1sigma	within_2sigma	mean_high_tail_prob	mean_low_tail_prob	bets	win_rate	roi	brier	log_loss	avg_confidence	avg_edge	avg_hours_to_first_pitch	matched_closing_lines	beat_close_rate	mean_clv_runs	median_clv_runs	train_games	snapshot_candidates
2022-04	239	5.153247215095256	6.085845455045185	-1.1574396998996468	-3.6391787391035386	11.634994638685129	7.99581589958159	4.374640464782715	0.45188284518828453	0.8410041841004184	0.6843891402714933	0.4097222222222222	0								0				4357	1056
2022-05	675	4.486550986566946	5.1555006129951915	-0.3450401787146271	2.051520045760948	8.74699847275757	10.798518518518518	4.507047653198242	0.42518518518518517	0.9629629629629629	0.4236347099521894	0.4871835363528475	0								0				4596	150674
2022-06	404	3.841723542287428	4.792636020799882	-0.08842257363206785	-0.9961322033497163	9.97137972810219	8.975247524752476	4.515892028808594	0.6485148514851485	0.9381188118811881	0.5112924491598053	0.3299506731098889	333	0.4894894894894895	-6.552006552006551	0.28998698578134696	0.8125185971434441	0.6909236102207964	2.516928290793918	1.9714714714714714	333	0.05405405405405406	-0.010510510510510511	0.0	5271	2016
2022-07	390	3.2387638282395037	4.1633769840479635	-0.03488032376749639	-0.6644902056502833	9.30038764154772	8.635897435897435	4.109094142913818	0.6717948717948717	0.9641025641025641	0.4206916242908002	0.41617640372458514	57	0.45614035087719296	-12.918660287081341	0.25584674262067325	0.7048765580495623	0.5442902881536823	0.6959922240761092	2.1204678362573097	57	0.08771929824561403	0.021929824561403508	0.0	5675	1982
2022-08	420	3.6450260069145766	4.551847028807193	-0.06619373248639326	-0.927358604388867	9.374977652007916	8.447619047619048	4.70915412902832	0.680952380952381	0.9714285714285714	0.46666470498887147	0.6076325499654894	216	0.5231481481481481	-0.12626262626262985	0.2499093580227577	0.6929705643429541	0.5442477876106196	0.569984090753483	2.036574074074074	216	0.10185185185185185	0.02546296296296296	0.0	6065	2290
2022-09	401	3.417131165334384	4.357748662207023	-0.012434829183666007	-0.29781076904336196	8.714269621911193	8.41645885286783	4.663000583648682	0.7256857855361596	0.9675810473815462	0.4997608669813164	0.3552712007090102	293	0.5597269624573379	6.856965560037233	0.24689905356126715	0.6869438608376152	0.565162846402112	0.7885744349392253	2.1844188471748196	293	0.07508532423208192	0.021331058020477817	0.0	6485	2153
2022-10	78	3.2203814751476596	3.917361733942871	-0.10625359561522352	-1.2332629872558394	9.233262987255838	8.0	4.528173923492432	0.7435897435897436	0.9871794871794872	0.4659780629537498	0.5283598255843687	42	0.5476190476190477	4.545454545454548	0.24626324616420142	0.6856264028256274	0.5538085145357724	0.6170765485740485	2.0835846560846565	42	0.07142857142857142	-0.05357142857142857	0.0	6886	456
