games	mae	rmse	r2	bias	mean_predicted	mean_actual	mean_sigma	within_1sigma	within_2sigma	month
373	3.4561521395282244	4.273224491988634	-0.009705273886639887	-0.3739956559470325	8.97185088382907	8.597855227882038	4.546424865722656	0.6997319034852547	0.9731903485254692	2024-04
409	3.361639867743869	4.272238863993187	-0.02624381764452588	-0.21501939556776528	8.701571962804929	8.486552567237164	4.452171802520752	0.7237163814180929	0.960880195599022	2024-05
400	3.403726552510419	4.223671613552971	0.04401186053797412	0.24851391504577183	8.668986084954229	8.9175	4.460019111633301	0.715	0.9675	2024-06
369	3.362567849683876	4.336784096786309	0.04425429670115366	0.21810348716484684	8.925527949149515	9.143631436314363	4.447035312652588	0.6991869918699187	0.964769647696477	2024-07
413	3.3389233808884957	4.169804806578651	0.061058416265939996	0.05770492157658766	8.95682292345973	9.01452784503632	4.369248390197754	0.6949152542372882	0.9733656174334141	2024-08
383	3.343222075963289	4.197300436359349	0.05575830357657674	-0.5136895919516203	8.913167398740132	8.399477806788513	4.363996982574463	0.6892950391644909	0.9660574412532638	2024-09
