game_id	date	home_team_id	away_team_id	home_off_elo	home_def_elo	away_off_elo	away_def_elo	elo_expected_total	elo_offense_sum	elo_matchup_score	elo_home_edge
634588	2021-04-05	116	142	1477.5	1501.17	1512.59	1546.83	8.976	2990.09	-57.9	-80.74
634591	2021-04-05	135	137	1507.11	1547.14	1493.55	1493.48	9.03	3000.66	-39.96	67.22
634600	2021-04-05	133	119	1428.35	1372.94	1558.0	1485.62	9.533	2986.35	127.78	-242.34
634601	2021-04-05	111	139	1432.9	1462.68	1506.05	1479.86	9.139	2938.95	-3.6	-90.33
634606	2021-04-05	143	121	1461.89	1580.4	1500.0	1500.0	8.794	2961.89	-118.51	42.28
634612	2021-04-05	140	141	1556.07	1397.05	1465.7	1545.75	9.387	3021.77	78.97	-58.33
634616	2021-04-05	114	118	1498.83	1522.5	1602.95	1443.93	9.556	3101.79	135.36	-25.55
634529	2021-04-06	135	137	1485.58	1557.86	1482.84	1515.0	8.837	2968.42	-104.44	45.6
634530	2021-04-06	113	134	1602.42	1481.34	1453.08	1513.79	9.331	3055.5	60.37	116.9
634559	2021-04-06	112	158	1488.35	1545.07	1443.14	1484.57	8.856	2931.49	-98.15	105.71
634586	2021-04-06	108	117	1560.8	1463.14	1635.32	1552.13	9.693	3196.12	180.86	-163.51
634590	2021-04-06	111	139	1484.83	1483.72	1485.01	1427.94	9.325	2969.84	58.17	55.61
634594	2021-04-06	146	138	1488.01	1498.83	1525.67	1430.41	9.403	3013.68	84.45	30.76
634599	2021-04-06	147	110	1475.76	1570.37	1501.24	1545.59	8.733	2977.0	-138.96	-0.7
634603	2021-04-06	116	142	1489.97	1417.44	1596.31	1534.36	9.553	3086.28	134.47	-223.27
634608	2021-04-06	143	121	1465.6	1590.47	1489.93	1496.29	8.756	2955.53	-131.22	69.85
634609	2021-04-06	136	145	1468.18	1494.98	1540.07	1497.08	9.199	3008.24	16.18	-73.99
634619	2021-04-06	115	109	1514.38	1442.0	1452.86	1492.89	9.247	2967.23	32.35	10.62
634624	2021-04-06	120	144	1500.0	1500.0	1419.6	1538.11	8.794	2919.6	-118.51	42.28
634628	2021-04-06	133	119	1416.52	1333.38	1597.56	1497.45	9.7	3014.08	183.25	-345.11
634635	2021-04-06	140	141	1534.62	1386.69	1476.05	1567.2	9.32	3010.67	56.78	-121.93
634527	2021-04-07	120	144	1511.71	1494.07	1425.53	1526.4	8.9	2937.25	-83.22	53.85
634539	2021-04-07	147	110	1496.24	1588.71	1482.9	1525.11	8.746	2979.14	-134.69	76.93
634542	2021-04-07	115	109	1540.66	1398.26	1496.6	1466.61	9.667	3037.26	172.39	-24.29
634549	2021-04-07	112	158	1451.06	1546.62	1441.58	1521.86	8.622	2892.64	-175.84	34.23
634563	2021-04-07	135	137	1473.09	1584.06	1456.64	1527.5	8.605	2929.72	-181.83	73.01
634567	2021-04-07	133	119	1389.26	1335.72	1595.22	1524.71	9.522	2984.48	124.05	-394.94
