date	away_team	home_team	predicted_total	market_adjusted_total	prediction_std	close_total_line	edge	p_over	bet	actual_total	bet_won
2021-04-10	Seattle Mariners	Minnesota Twins	8.800151235599815	7.909598427991033	4.4483485	8.0	-0.09040157200896726	0.4918930527220016	UNDER	7.0	True
2021-04-10	Milwaukee Brewers	St. Louis Cardinals	8.198448600818033	7.90728975752225	4.56195	8.0	-0.09271024247775017	0.4918930527220016	UNDER	14.0	False
2021-04-10	New York Yankees	Tampa Bay Rays	9.646794368299364	9.40057039654298	4.8925867	9.5	-0.09942960345702012	0.4918930527220016	UNDER	4.0	True
2021-04-10	Chicago Cubs	Pittsburgh Pirates	10.247178557678684	9.643709302199007	5.198663	8.5	1.1437093021990066	0.5870646766169154	OVER	10.0	True
2021-04-10	Cincinnati Reds	Arizona Diamondbacks	10.20832525341418	9.402921744080032	4.776885	9.5	-0.09707825591996766	0.4918930527220016	UNDER	11.0	False
2021-04-10	San Diego Padres	Texas Rangers	10.069941404556982	8.896858150559178	5.0752535	9.0	-0.1031418494408225	0.4918930527220016	UNDER	11.0	False
2021-04-10	Boston Red Sox	Baltimore Orioles	9.699520019897882	9.39217135763517	5.3058743	9.5	-0.10782864236482936	0.4918930527220016	UNDER	10.0	False
2021-04-10	Los Angeles Angels	Toronto Blue Jays	11.5745548862662	12.87767474474786	5.3465667	10.5	2.3776747447478606	0.6717355371900828	OVER	16.0	True
2021-04-10	Philadelphia Phillies	Atlanta Braves	8.359941459985873	7.911283474469939	4.365433	8.0	-0.08871652553006104	0.4918930527220016	UNDER	9.0	False
2021-04-11	Milwaukee Brewers	St. Louis Cardinals	9.229237532059253	8.416014591851317	4.1326313	8.5	-0.08398540814868305	0.4918930527220016	UNDER	12.0	False
2021-04-11	Seattle Mariners	Minnesota Twins	9.349605754154526	8.412066895202722	4.326884	8.5	-0.087933104797278	0.4918930527220016	UNDER	14.0	False
2021-04-11	Boston Red Sox	Baltimore Orioles	10.218643980610624	9.399233133284582	4.958389	9.5	-0.10076686671541779	0.4918930527220016	UNDER	23.0	False
2021-04-11	Chicago Cubs	Pittsburgh Pirates	9.532315886771741	7.902917431796793	4.777097	8.0	-0.0970825682032066	0.4918930527220016	UNDER	8.0	True
2021-04-11	San Diego Padres	Texas Rangers	8.46358582233864	7.512547288692204	4.942053	9.0	-1.487452711307796	0.3817153628652215	UNDER	2.0	True
