date	game_id	away_team	home_team	predicted_total	prediction_std	kalshi_line	kalshi_yes_price	kalshi_side	kalshi_side_market_prob	kalshi_fair_price_pct	kalshi_edge_pct	bet_amount	bet_contracts	risked_amount	actual_total	won	result	pnl_dollars	roi_pct	bankroll_after	skip_reason	settled
2026-04-10	822997	New York Yankees	Tampa Bay Rays	8.75	4.173	8.5	0.46	OVER	46.0	52.4	6.4	295.0	641.3043	295.0	8.0	False	loss	-295.0	-100.0	24040.2		True
2026-04-10	823076	Boston Red Sox	St. Louis Cardinals	7.92	4.187	7.5	0.48	OVER	48.0	54.0	6.0	290.0	604.1667	290.0	5.0	False	loss	-290.0	-100.0	23750.2		True
2026-04-10	823156	Houston Astros	Seattle Mariners	8.55	4.238	7.5	0.5	OVER	50.0	59.8	9.8	488.0	976.0	488.0	15.0	True	win	488.0	100.0	24238.2		True
2026-04-10	823318	Colorado Rockies	San Diego Padres	8.44	4.206	8.5	0.46	OVER	46.0	49.4	3.4	158.0	343.4783	158.0	7.0	False	loss	-158.0	-100.0	24080.2		True
2026-04-10	823482	Arizona Diamondbacks	Philadelphia Phillies	8.85	4.269	8.5	0.45	OVER	45.0	53.3	8.3	376.0	835.5556	376.0	9.0	True	win	459.56	122.22	24539.75		True
2026-04-10	823643	Athletics	New York Mets	8.0	4.258	7.5	0.51	OVER	51.0	54.7	3.7	188.0	368.6275	188.0	4.0	False	loss	-188.0	-100.0	24351.75		True
2026-04-10	823808	Washington Nationals	Milwaukee Brewers	9.27	4.299	8.5	0.48	OVER	48.0	57.1	9.1	437.0	910.4167	437.0	10.0	True	win	473.42	108.33	24825.17		True
2026-04-10	823968	Texas Rangers	Los Angeles Dodgers	8.31	4.459	8.5	0.51	UNDER	49.0	48.3	-2.7	134.0	273.4694	134.0	15.0	False	loss	-134.0	-100.0	24691.17		True
2026-04-10	824128	Chicago White Sox	Kansas City Royals	7.28	4.329	7.5	0.52	UNDER	48.0	48.0	-4.0	193.0	402.0833	193.0	2.0	True	win	209.08	108.33	24900.25		True
2026-04-10	824297	Miami Marlins	Detroit Tigers	8.66	4.397	8.5	0.5	OVER	50.0	51.4	1.4	72.0	144.0	72.0	2.0	False	loss	-72.0	-100.0	24828.25		True
2026-04-10	824534	Los Angeles Angels	Cincinnati Reds	8.4	4.418	8.5	0.52	UNDER	48.0	49.1	-2.9	141.0	293.75	141.0	12.0	False	loss	-141.0	-100.0	24687.25		True
2026-04-10	824695	Pittsburgh Pirates	Chicago Cubs	8.06	4.422	6.5	0.53	OVER	53.0	63.7	10.7	572.0	1079.2453	572.0	2.0	False	loss	-572.0	-100.0	24115.25		True
2026-04-10	824858	San Francisco Giants	Baltimore Orioles	7.23	4.286	8.5	0.48	UNDER	52.0	38.3	-9.7	504.0	969.2308	504.0	9.0	False	loss	-504.0	-100.0	23611.25		True
2026-04-10	824941	Cleveland Guardians	Atlanta Braves	9.92	4.227	8.5	0.49	OVER	49.0	63.2	14.2	695.0	1418.3673	695.0	16.0	True	win	723.37	104.08	24334.62		True
2026-04-11	822830	Minnesota Twins	Toronto Blue Jays	10.02	4.755	8.5	0.48	OVER	48.0	62.5	14.5	698.0	1454.1667	698.0	11.0	True	win	756.17	108.33	25090.79		True
2026-04-11	822996	New York Yankees	Tampa Bay Rays	9.02	4.22	7.5	0.48	OVER	48.0	64.1	16.1	773.0	1610.4167	773.0	9.0	True	win	837.42	108.33	25928.2		True
2026-04-11	823074	Boston Red Sox	St. Louis Cardinals	6.87	4.4	7.5	0.52	UNDER	48.0	44.4	-7.6	368.0	766.6667	368.0	8.0	False	loss	-368.0	-100.0	25560.2		True
2026-04-11	823155	Houston Astros	Seattle Mariners	8.8	4.305	7.5	0.48	OVER	48.0	61.9	13.9	668.0	1391.6667	668.0	15.0	True	win	723.67	108.33	26283.87		True
2026-04-11	823316	Colorado Rockies	San Diego Padres	10.21	4.476	8.5	0.48	OVER	48.0	64.9	16.9	810.0	1687.5	810.0	14.0	True	win	877.5	108.33	27161.37		True
2026-04-11	823480	Arizona Diamondbacks	Philadelphia Phillies	9.19	4.446	8.5	0.54	OVER	54.0	56.2	2.2	117.0	216.6667	117.0	7.0	False	loss	-117.0	-100.0	27044.37		True
2026-04-11	823644	Athletics	New York Mets	8.55	4.286	7.5	0.53	OVER	53.0	59.7	6.7	356.0	671.6981	356.0	17.0	True	win	315.7	88.68	27360.07		True
2026-04-11	823805	Washington Nationals	Milwaukee Brewers	11.16	4.898	7.5	0.54	OVER	54.0	77.2	23.2	1263.0	2338.8889	1263.0	4.0	False	loss	-1263.0	-100.0	26097.07		True
2026-04-11	823967	Texas Rangers	Los Angeles Dodgers	8.29	4.362	8.5	0.52	UNDER	48.0	48.1	-3.9	188.0	391.6667	188.0	9.0	False	loss	-188.0	-100.0	25909.07		True
2026-04-11	824129	Chicago White Sox	Kansas City Royals	8.41	4.423	9.5	0.46	UNDER	54.0	40.3	-5.7	312.0	577.7778	312.0	2.0	True	win	265.78	85.19	26174.84		True
2026-04-11	824294	Miami Marlins	Detroit Tigers	8.82	4.127	7.5	0.45	OVER	45.0	62.6	17.6	798.0	1773.3333	798.0	7.0	False	loss	-798.0	-100.0	25376.84		True
