date	away_team	home_team	predicted_total	prediction_std	high_tail_prob_9p5	low_tail_prob_7p5	total_runs
2025-04-01	Chicago Cubs	Athletics	9.201120728480124	4.4502645	0.3872244269003664	0.4328557738696701	11
2025-04-02	Cleveland Guardians	San Diego Padres	7.828046408174093	4.277048	0.3222347349276338	0.46092471570125887	7
2025-04-02	Detroit Tigers	Seattle Mariners	9.330449447142914	4.459275	0.4664617870716338	0.4141063103114731	5
2025-04-02	Texas Rangers	Cincinnati Reds	8.254984743455205	4.2148113	0.35406703058383804	0.45112572998157807	1
2025-04-02	Kansas City Royals	Milwaukee Brewers	9.309509366769788	4.400604	0.4054586738695894	0.43101257771602935	5
2025-04-02	Pittsburgh Pirates	Tampa Bay Rays	10.53006747368591	4.8743687	0.5197027777103668	0.378665477934993	6
2025-04-02	Los Angeles Angels	St. Louis Cardinals	8.770161613042827	4.339333	0.42708577219150407	0.4070329317485458	17
2025-04-02	Chicago Cubs	Athletics	9.063883728508555	4.238694	0.3679731935610567	0.4328557738696701	12
2025-04-02	New York Mets	Miami Marlins	10.202971323261352	4.7246304	0.47426537021677545	0.390781606141246	11
2025-04-02	San Francisco Giants	Houston Astros	8.189439003334806	4.86985	0.3810330659498964	0.45262814253918	9
2025-04-02	Boston Red Sox	Baltimore Orioles	9.28632665939679	4.2985644	0.40642165843150957	0.4333221921359665	3
2025-04-02	Atlanta Braves	Los Angeles Dodgers	8.6783886889755	4.4037986	0.42235786024234634	0.4285423705016739	11
2025-04-02	Washington Nationals	Toronto Blue Jays	8.056150369710652	4.3305593	0.31906826201579913	0.46108867019764255	6
2025-04-02	Minnesota Twins	Chicago White Sox	8.267272623808912	4.47235	0.36684992018840656	0.4578697690402634	7
2025-04-03	Arizona Diamondbacks	New York Yankees	9.95285964105174	4.8553886	0.4311687201609407	0.39705472082248994	16
2025-04-03	Houston Astros	Minnesota Twins	9.077355571783706	4.744302	0.41279857460162983	0.43598734230152436	7
2025-04-03	Cincinnati Reds	Milwaukee Brewers	9.637572402670648	4.656089	0.4319517106165682	0.4031888613139755	1
2025-04-03	Boston Red Sox	Baltimore Orioles	9.794833567490816	4.759667	0.48214570030252984	0.3934960195457108	12
2025-04-03	Colorado Rockies	Philadelphia Phillies	9.863495106645699	5.241863	0.4874747131733184	0.3933142909442551	4
2025-04-04	Athletics	Colorado Rockies	8.262400952194973	4.7241244	0.3534100681891237	0.45788314432255095	9
2025-04-04	Seattle Mariners	San Francisco Giants	9.31180475310845	4.655743	0.4701565478710418	0.40469148844829866	19
2025-04-04	Chicago White Sox	Detroit Tigers	7.928292163562962	4.308266	0.3190228611578737	0.46669516653171844	11
2025-04-04	St. Louis Cardinals	Boston Red Sox	9.197397264434844	4.4891076	0.43086452189586505	0.41486498207203215	22
2025-04-04	San Diego Padres	Chicago Cubs	9.34852092107771	4.518118	0.42285578552387104	0.4107327887450821	4
2025-04-04	New York Yankees	Pittsburgh Pirates	8.567248020156498	4.314099	0.3354391426195894	0.4735302218829758	13
2025-04-04	Toronto Blue Jays	New York Mets	8.696542080552339	4.517532	0.4258858949293886	0.4070329317485458	5
2025-04-04	Arizona Diamondbacks	Washington Nationals	10.910445667336527	5.371798	0.5066173885730987	0.3810509631072647	10
2025-04-04	Baltimore Orioles	Kansas City Royals	8.638519651885012	4.4758983	0.3633036107172762	0.441018594208873	10
