date	away_team	home_team	predicted_total	kalshi_line	kalshi_yes_price	kalshi_side	kalshi_edge_pct	kalshi_fair_price_pct	kalshi_side_model_prob	kalshi_side_market_prob	bet_amount	bet_pct_bankroll	actual_total	result	pnl_dollars	roi_pct	settled	skip_reason
2026-04-01	Athletics	Atlanta Braves	9.31	7.5	0.5	OVER	16.0	66.0	66.0	50.0	565.0	4.803	6.0	loss	-565.0	-100.0	True	
2026-04-01	Detroit Tigers	Arizona Diamondbacks	8.95	7.5	0.5	OVER	12.6	62.6	62.6	50.0	423.0	3.777	1.0	loss	-423.0	-100.0	True	
2026-04-02	New York Mets	San Francisco Giants	9.11	7.5	0.53	OVER	11.1	64.1	64.1	53.0	383.0	3.554	9.0	win	339.64	88.68	True	
2026-04-02	Minnesota Twins	Kansas City Royals	9.16	9.5	0.48		-1.0	47.0	53.0	52.0	0.0	0.0	6.0	no_bet	0.0	0.0	False	edge_below_threshold
2026-04-02	Atlanta Braves	Arizona Diamondbacks	9.53	9.5	0.45		5.2	50.2	50.2	45.0	0.0	0.0	19.0	no_bet	0.0	0.0	False	confidence_below_threshold
2026-04-03	Los Angeles Dodgers	Washington Nationals	10.86	9.5	0.52	OVER	9.6	61.6	61.6	52.0	335.0	3.014	19.0	win	309.23	92.31	True	
2026-04-03	Cincinnati Reds	Texas Rangers	8.04	8.5	0.48		-2.2	45.8	54.2	52.0	0.0	0.0	8.0	no_bet	0.0	0.0	False	edge_below_threshold
2026-04-03	New York Mets	San Francisco Giants	9.48	7.5	0.53	OVER	13.4	66.4	66.4	53.0	488.0	4.271	13.0	win	432.75	88.68	True	
2026-04-03	Baltimore Orioles	Pittsburgh Pirates	8.87	8.5	0.52		1.4	53.4	53.4	52.0	0.0	0.0	9.0	no_bet	0.0	0.0	False	edge_below_threshold
2026-04-03	Miami Marlins	New York Yankees	10.81	7.5	0.54	OVER	22.3	76.3	76.3	54.0	862.0	7.269	10.0	win	734.3	85.19	True	
2026-04-03	Tampa Bay Rays	Minnesota Twins	9.43	7.5	0.51	OVER	15.4	66.4	66.4	51.0	594.0	4.717	14.0	win	570.71	96.08	True	
2026-04-03	Seattle Mariners	Los Angeles Angels	12.29	7.5	0.54		29.6	83.6	83.6	54.0	0.0	0.0	4.0	no_bet	0.0	0.0	False	line_diff_too_large
