target_date	month	game_id	away_team	home_team	predicted_total	posted_line	posted_odds	bet_signal	bet_confidence	edge	market_line_source	market_adjustment_method	away_score	home_score	total_runs	result	profit_units	settled
2026-04-15	2026-04	823399	Washington Nationals	Pittsburgh Pirates	8.4	9.0	-103.0	UNDER	55.6	-0.6		edge_model	0	2	2	win	0.9090909090909091	True
2026-04-15	2026-04	823803	Toronto Blue Jays	Milwaukee Brewers	6.9	8.5	-105.0	UNDER	65.1	-1.6		edge_model	1	2	3	win	0.9090909090909091	True
2026-04-15	2026-04	824209	Colorado Rockies	Houston Astros	9.8	8.5	-118.0	OVER	61.5	1.3		edge_model	1	3	4	loss	-1.0	True
2026-04-15	2026-04	824615	Tampa Bay Rays	Chicago White Sox	7.9	8.5	100.0	UNDER	55.1	-0.6		edge_model	8	3	11	loss	-1.0	True
2026-04-15	2026-04	825021	Texas Rangers	Athletics	8.4	9.0	103.0	UNDER	55.4	-0.6		edge_model	5	6	11	loss	-1.0	True
2026-04-17	2026-04	824048	San Diego Padres	Los Angeles Angels	9.3	8.5	-110	OVER	56.8	0.8		edge_model				pending	0.0	False
2026-04-17	2026-04	824373	Los Angeles Dodgers	Colorado Rockies	8.7	9.5	-110	UNDER	57.1	-0.8		edge_model				pending	0.0	False
2026-04-17	2026-04	825101	Toronto Blue Jays	Arizona Diamondbacks	7.7	8.5	-110	UNDER	57.2	-0.8		edge_model				pending	0.0	False
